Name,Date,Space Complexity,Tags,Time Complexity,Topic 1
83. Remove Duplicates from Sorted List,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
84. Largest Rectangle in Histogram,"December 18, 2025",,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
90. Subsets II,,,Revision needed,,Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
94. Binary Tree Inorder Traversal,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
97. Interleaving String,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
98. Validate Binary Search Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
101. Symmetric Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
102. Binary Tree Level Order Traversal,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
103. Binary Tree Zigzag Level Order Traversal,,,,,"BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
105. Construct Binary Tree from Preorder and Inorder Traversal,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
106. Construct Binary Tree from Inorder and Postorder Traversal,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
107. Binary Tree Level Order Traversal II,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
108. Convert Sorted Array to Binary Search Tree,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
109. Convert Sorted List to Binary Search Tree,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)"
110. Balanced Binary Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
112. Path Sum,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
114. Flatten Binary Tree to Linked List,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)"
115. Distinct Subsequences,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
118. Pascal's Triangle,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
119. Pascal's Triangle II,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
120. Triangle,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
122. Best Time to Buy and Sell Stock II,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
125. Valid Palindrome,,,,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
130. Surrounded Regions,,,,,"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
133. Clone Graph,,,,,Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21)
136. Single Number,,,,,Bit manipulation (https://www.notion.so/Bit-manipulation-2cffa7ea1c97808dab19e86f1ff784b3?pvs=21)
138. Copy List with Random Pointer,,,Revision needed,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
141. Linked List Cycle,,,,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
142. Linked List Cycle II,,,Revision needed,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
143. Reorder List,,,,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
144. Binary Tree Preorder Traversal,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
145. Binary Tree Postorder Traversal,,,,,"DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
150. Evaluate Reverse Polish Notation,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
155. Min Stack,,,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
169. Majority Element,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
179. Largest Number,,,Revision needed,,
189. Rotate Array,,,,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
191. Number of 1 Bits,,,,,Bit manipulation (https://www.notion.so/Bit-manipulation-2cffa7ea1c97808dab19e86f1ff784b3?pvs=21)
199. Binary Tree Right Side View,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
202. Happy Number,,,,,Math (https://www.notion.so/Math-2cffa7ea1c978076a4d4f4dcac76dc5b?pvs=21)
203. Remove Linked List Elements,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
208. Implement Trie (Prefix Tree),,,Revision needed,,
209. Minimum Size Subarray Sum,,,Revision needed,,
215. Kth Largest Element in an Array,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
217. Contains Duplicate,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
222. Count Complete Tree Nodes,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
287. Find the Duplicate Number,,,Revision needed,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
295. Find Median from Data Stream,,,Revision needed,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
297. Serialize and Deserialize Binary Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
300. Longest Increasing Subsequence,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
304. Range Sum Query 2D - Immutable,,,Revision needed,,Prefix Sum (https://www.notion.so/Prefix-Sum-24efa7ea1c97802e8800e09de7c5e440?pvs=21)
377. Combination Sum IV,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
406. Queue Reconstruction by Height,,,Revision needed,,
407. Trapping Rain Water II,,,Revision needed,,
429. N-ary Tree Level Order Traversal,,,,,"BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
438. Find All Anagrams in a String,,,,,Sliding WIndow (https://www.notion.so/Sliding-WIndow-24cfa7ea1c9780eaac90c4b65ef2907a?pvs=21)
445. Add Two Numbers II,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
450. Delete Node in a BST,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
474. Ones and Zeroes,,,Revision needed,,
494. Target Sum,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
503. Next Greater Element II,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
515. Find Largest Value in Each Tree Row,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
621. Task Scheduler,,,Revision needed,,
636. Exclusive Time of Functions,,,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
654. Maximum Binary Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
689. Maximum Sum of 3 Non-Overlapping Subarrays,,,Revision needed,,
695. Max Area of Island,,,,,"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
701. Insert into a Binary Search Tree,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
739. Daily Temperatures,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
740. Delete and Earn,,,Revision needed,,
743. Network Delay Time,,,,,Dijkstra (https://www.notion.so/Dijkstra-245fa7ea1c97802cb223cc9bdcb08ab8?pvs=21)
769. Max Chunks To Make Sorted,,,Revision needed,,
802. Find Eventual Safe States,,,Revision needed,,
827. Making A Large Island,,,Revision needed,,
873. Length of Longest Fibonacci Subsequence,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
889. Construct Binary Tree from Preorder and Postorder Traversal,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
912. Sort an Array,,,,,Sorting (https://www.notion.so/Sorting-26bfa7ea1c9780eaa022f2b5ad3ac885?pvs=21)
916. Word Subsets,,,Revision needed,,
931. Minimum Falling Path Sum,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
973. K Closest Points to Origin,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
983. Minimum Cost For Tickets,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
994. Rotting Oranges,,,,,"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
1008. Construct Binary Search Tree from Preorder Traversal,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
1014. Best Sightseeing Pair,,,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
1028. Recover a Tree From Preorder Traversal,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
1049. Last Stone Weight II,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
1079. Letter Tile Possibilities,,,,,Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
1091. Shortest Path in Binary Matrix,,,,,BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)
1092. Shortest Common Supersequence ,,,Revision needed,,
1161. Maximum Level Sum of a Binary Tree,,,,,BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)
1249. Minimum Remove to Make Valid Parentheses,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
1261. Find Elements in a Contaminated Binary Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
1267. Count Servers that Communicate,,,,,"BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,,,,,Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)
1352. Product of the Last K Numbers,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
1354. Construct Target Array With Multiple Sums,"December 19, 2025",,Revision needed,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
1358. Number of Substrings Containing All Three Characters,,,,,Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)
1368. Minimum Cost to Make at Least One Valid Path in a Grid,,,Revision needed,,
1400. Construct K Palindrome Strings,,,Revision needed,,
1441. Build an Array With Stack Operations,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
1448. Count Good Nodes in Binary Tree,,,,,"DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
1462. Course Schedule IV,,,,,"DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21), Kahn's algorithm (https://www.notion.so/Kahn-s-algorithm-24ffa7ea1c9780c88c83ea742dbfa036?pvs=21), Topological sort DFS (https://www.notion.so/Topological-sort-DFS-250fa7ea1c97806ba31ad745d9cb67f2?pvs=21)"
1472. Design Browser History,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
1524. Number of Sub-arrays With Odd Sum,,,,,Prefix Sum (https://www.notion.so/Prefix-Sum-24efa7ea1c97802e8800e09de7c5e440?pvs=21)
1639. Number of Ways to Form a Target String Given a Dictionary,,,Revision needed,,
1718. Construct the Lexicographically Largest Valid Sequence,,,Revision needed,,
1726. Tuple with Same Product,,,Revision needed,,
1749. Maximum Absolute Sum of Any Subarray,,,Revision needed,,
1765. Map of Highest Peak,,,,,Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21)
1769. Minimum Number of Operations to Move All Balls to Each Box,,,Revision needed,,
1780. Check if Number is a Sum of Powers of Three,,,Revision needed,,
1792. Maximum Average Pass Ratio,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
1838. Frequency of the Most Frequent Element,,,Revision needed,,
1865. Finding Pairs With a Certain Sum,,,Revision needed,,
1910. Remove All Occurrences of a Substring,,,Revision needed,,
1930. Unique Length-3 Palindromic Subsequences,,,Revision needed,,
1980. Find Unique Binary String,,,Revision needed,,
1985. Find the Kth Largest Integer in the Array,,,Revision needed,,
2017. Grid Game,,,Revision needed,,
2109. Adding Spaces to a String,,,,,Strings (https://www.notion.so/Strings-244fa7ea1c9780a78a4cc51d413d7267?pvs=21)
2116. Check if a Parentheses String Can Be Valid,,,Revision needed,,
2127. Maximum Employees to Be Invited to a Meeting,,,Revision needed,,
2130. Maximum Twin Sum of a Linked List,,,Revision needed,,
2149. Rearrange Array Elements by Sign,,,,,Queue (https://www.notion.so/Queue-2cffa7ea1c97803fbbd1d10e962c75db?pvs=21)
2161. Partition Array According to Given Pivot,,,Revision needed,,
2182. Construct String With Repeat Limit,,,Revision needed,,
2226. Maximum Candies Allocated to K Children,,,Revision needed,,
2300. Successful Pairs of Spells and Potions,,,,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
2342. Max Sum of a Pair With Equal Sum of Digits,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
2349. Design a Number Container System,,,Revision needed,,
2364. Count Number of Bad Pairs,,,,,
337. House Robber III,"January 3, 2026",,,,"Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
,,,,,
221. Maximal Square,"January 9, 2026",,,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
